qid,metric,value,Method
2739,P@1,0.0,BM25
2739,P@5,0.0,BM25
2739,P@10,0.0,BM25
2739,nDCG@10,0.0,BM25
2739,nDCG@20,0.0,BM25
2930,AP,0.06666666666666667,BM25
2930,RR,0.3333333333333333,BM25
2930,P@1,0.0,BM25
2930,P@5,0.2,BM25
2930,P@10,0.1,BM25
2930,nDCG@10,0.16958010263680803,BM25
2930,nDCG@20,0.16958010263680803,BM25
2969,AP,0.013888888888888888,BM25
2969,RR,0.05555555555555555,BM25
2969,P@1,0.0,BM25
2969,P@5,0.0,BM25
2969,P@10,0.0,BM25
2969,nDCG@10,0.0,BM25
2969,nDCG@20,0.05160658269997726,BM25
3079,AP,0.0,BM25
3079,RR,0.0,BM25
3079,P@1,0.0,BM25
3079,P@5,0.0,BM25
3079,P@10,0.0,BM25
3079,nDCG@10,0.0,BM25
3079,nDCG@20,0.0,BM25
3118,AP,0.4208133971291866,BM25
3118,RR,1.0,BM25
3118,P@1,1.0,BM25
3118,P@5,0.2,BM25
3118,P@10,0.2,BM25
3118,nDCG@10,0.60911264387486,BM25
3118,nDCG@20,0.6839017865720752,BM25
3309,AP,0.0,BM25
3309,RR,0.0,BM25
3309,P@1,0.0,BM25
3309,P@5,0.0,BM25
3309,P@10,0.0,BM25
3309,nDCG@10,0.0,BM25
3309,nDCG@20,0.0,BM25
3569,AP,0.0,BM25
3569,RR,0.0,BM25
3569,P@1,0.0,BM25
3569,P@5,0.0,BM25
3569,P@10,0.0,BM25
3569,nDCG@10,0.0,BM25
3569,nDCG@20,0.0,BM25
3615,AP,0.11657754010695187,BM25
3615,RR,0.25,BM25
3615,P@1,0.0,BM25
3615,P@5,0.2,BM25
3615,P@10,0.1,BM25
3615,nDCG@10,0.15082306437924028,BM25
3615,nDCG@20,0.2053939283984149,BM25
3873,AP,0.18409090909090908,BM25
3873,RR,1.0,BM25
3873,P@1,1.0,BM25
3873,P@5,0.2,BM25
3873,P@10,0.2,BM25
3873,nDCG@10,0.18955552546635626,BM25
3873,nDCG@20,0.2745094666342789,BM25
3906,AP,0.25,BM25
3906,RR,1.0,BM25
3906,P@1,1.0,BM25
3906,P@5,0.2,BM25
3906,P@10,0.1,BM25
3906,nDCG@10,0.17171904689021833,BM25
3906,nDCG@20,0.17171904689021833,BM25
4168,AP,0.8047619047619048,BM25
4168,RR,1.0,BM25
4168,P@1,1.0,BM25
4168,P@5,0.6,BM25
4168,P@10,0.4,BM25
4168,nDCG@10,0.515199220453658,BM25
4168,nDCG@20,0.638844096130716,BM25
4175,AP,0.0,BM25
4175,RR,0.0,BM25
4175,P@1,0.0,BM25
4175,P@5,0.0,BM25
4175,P@10,0.0,BM25
4175,nDCG@10,0.0,BM25
4175,nDCG@20,0.0,BM25
4228,AP,0.0,BM25
4228,RR,0.0,BM25
4228,P@1,0.0,BM25
4228,P@5,0.0,BM25
4228,P@10,0.0,BM25
4228,nDCG@10,0.0,BM25
4228,nDCG@20,0.0,BM25
4296,AP,0.37620091896407687,BM25
4296,RR,1.0,BM25
4296,P@1,1.0,BM25
4296,P@5,0.2,BM25
4296,P@10,0.3,BM25
4296,nDCG@10,0.5058520011127917,BM25
4296,nDCG@20,0.6533211229078171,BM25
4450,AP,0.25,BM25
4450,RR,1.0,BM25
4450,P@1,1.0,BM25
4450,P@5,0.2,BM25
4450,P@10,0.1,BM25
4450,nDCG@10,0.3834617635569661,BM25
4450,nDCG@20,0.3834617635569661,BM25
4468,AP,0.3333333333333333,BM25
4468,RR,1.0,BM25
4468,P@1,1.0,BM25
4468,P@5,0.2,BM25
4468,P@10,0.1,BM25
4468,nDCG@10,0.7795858045446329,BM25
4468,nDCG@20,0.7795858045446329,BM25
4637,AP,0.011111111111111112,BM25
4637,RR,0.06666666666666667,BM25
4637,P@1,0.0,BM25
4637,P@5,0.0,BM25
4637,P@10,0.0,BM25
4637,nDCG@10,0.0,BM25
4637,nDCG@20,0.04712831789585393,BM25
4797,AP,0.40740740740740744,BM25
4797,RR,1.0,BM25
4797,P@1,1.0,BM25
4797,P@5,0.2,BM25
4797,P@10,0.2,BM25
4797,nDCG@10,0.314948467603245,BM25
4797,nDCG@20,0.314948467603245,BM25
4851,AP,0.16666666666666666,BM25
4851,RR,0.5,BM25
4851,P@1,0.0,BM25
4851,P@5,0.2,BM25
4851,P@10,0.2,BM25
4851,nDCG@10,0.3621386571694907,BM25
4851,nDCG@20,0.3621386571694907,BM25
4933,AP,0.7843537414965985,BM25
4933,RR,1.0,BM25
4933,P@1,1.0,BM25
4933,P@5,0.8,BM25
4933,P@10,0.6,BM25
4933,nDCG@10,0.8816172070446371,BM25
4933,nDCG@20,0.8816172070446371,BM25
4935,AP,0.025,BM25
4935,RR,0.2,BM25
4935,P@1,0.0,BM25
4935,P@5,0.2,BM25
4935,P@10,0.1,BM25
4935,nDCG@10,0.1883566886173921,BM25
4935,nDCG@20,0.1883566886173921,BM25
5005,AP,0.0,BM25
5005,RR,0.0,BM25
5005,P@1,0.0,BM25
5005,P@5,0.0,BM25
5005,P@10,0.0,BM25
5005,nDCG@10,0.0,BM25
5005,nDCG@20,0.0,BM25
5061,AP,0.7555555555555555,BM25
5061,RR,1.0,BM25
5061,P@1,1.0,BM25
5061,P@5,0.6,BM25
5061,P@10,0.3,BM25
5061,nDCG@10,0.9208582618875045,BM25
5061,nDCG@20,0.9208582618875045,BM25
5091,AP,0.0,BM25
5091,RR,0.0,BM25
5091,P@1,0.0,BM25
5091,P@5,0.0,BM25
5091,P@10,0.0,BM25
5091,nDCG@10,0.0,BM25
5091,nDCG@20,0.0,BM25
5166,AP,0.0,BM25
5166,RR,0.0,BM25
5166,P@1,0.0,BM25
5166,P@5,0.0,BM25
5166,P@10,0.0,BM25
5166,nDCG@10,0.0,BM25
5166,nDCG@20,0.0,BM25
5244,AP,0.0,BM25
5244,RR,0.0,BM25
5244,P@1,0.0,BM25
5244,P@5,0.0,BM25
5244,P@10,0.0,BM25
5244,nDCG@10,0.0,BM25
5244,nDCG@20,0.0,BM25
5259,AP,0.0,BM25
5259,RR,0.0,BM25
5259,P@1,0.0,BM25
5259,P@5,0.0,BM25
5259,P@10,0.0,BM25
5259,nDCG@10,0.0,BM25
5259,nDCG@20,0.0,BM25
5262,AP,0.8321018062397372,BM25
5262,RR,1.0,BM25
5262,P@1,1.0,BM25
5262,P@5,0.8,BM25
5262,P@10,0.6,BM25
5262,nDCG@10,0.849902585636926,BM25
5262,nDCG@20,0.849902585636926,BM25
5274,AP,0.20615384615384613,BM25
5274,RR,0.2,BM25
5274,P@1,0.0,BM25
5274,P@5,0.2,BM25
5274,P@10,0.2,BM25
5274,nDCG@10,0.20185992381886528,BM25
5274,nDCG@20,0.2729593525163742,BM25
5394,AP,0.1,BM25
5394,RR,0.5,BM25
5394,P@1,0.0,BM25
5394,P@5,0.2,BM25
5394,P@10,0.1,BM25
5394,nDCG@10,0.08750372712995078,BM25
5394,nDCG@20,0.08750372712995078,BM25
5415,AP,0.29166666666666663,BM25
5415,RR,0.5,BM25
5415,P@1,0.0,BM25
5415,P@5,0.4,BM25
5415,P@10,0.2,BM25
5415,nDCG@10,0.44149241373678083,BM25
5415,nDCG@20,0.44149241373678083,BM25
5539,AP,0.11111111111111112,BM25
5539,RR,0.2,BM25
5539,P@1,0.0,BM25
5539,P@5,0.2,BM25
5539,P@10,0.1,BM25
5539,nDCG@10,0.09364787839833931,BM25
5539,nDCG@20,0.15416694188128977,BM25
5544,AP,0.037037037037037035,BM25
5544,RR,0.1111111111111111,BM25
5544,P@1,0.0,BM25
5544,P@5,0.0,BM25
5544,P@10,0.1,BM25
5544,nDCG@10,0.141266972859829,BM25
5544,nDCG@20,0.141266972859829,BM25
5585,AP,0.25,BM25
5585,RR,1.0,BM25
5585,P@1,1.0,BM25
5585,P@5,0.2,BM25
5585,P@10,0.1,BM25
5585,nDCG@10,0.4396592698888862,BM25
5585,nDCG@20,0.4396592698888862,BM25
5594,AP,0.0,BM25
5594,RR,0.0,BM25
5594,P@1,0.0,BM25
5594,P@5,0.0,BM25
5594,P@10,0.0,BM25
5594,nDCG@10,0.0,BM25
5594,nDCG@20,0.0,BM25
5599,AP,1.0,BM25
5599,RR,1.0,BM25
5599,P@1,1.0,BM25
5599,P@5,1.0,BM25
5599,P@10,0.6,BM25
5599,nDCG@10,0.8608507208033159,BM25
5599,nDCG@20,0.8608507208033159,BM25
5610,AP,0.5100198412698412,BM25
5610,RR,1.0,BM25
5610,P@1,1.0,BM25
5610,P@5,0.6,BM25
5610,P@10,0.3,BM25
5610,nDCG@10,0.5725217246322793,BM25
5610,nDCG@20,0.7050489315905168,BM25
5684,AP,0.2523809523809524,BM25
5684,RR,0.5,BM25
5684,P@1,0.0,BM25
5684,P@5,0.6,BM25
5684,P@10,0.3,BM25
5684,nDCG@10,0.3821846647604696,BM25
5684,nDCG@20,0.3821846647604696,BM25
5747,AP,0.023809523809523808,BM25
5747,RR,0.16666666666666666,BM25
5747,P@1,0.0,BM25
5747,P@5,0.0,BM25
5747,P@10,0.1,BM25
5747,nDCG@10,0.11207454275960439,BM25
5747,nDCG@20,0.11207454275960439,BM25
5875,AP,0.0,BM25
5875,RR,0.0,BM25
5875,P@1,0.0,BM25
5875,P@5,0.0,BM25
5875,P@10,0.0,BM25
5875,nDCG@10,0.0,BM25
5875,nDCG@20,0.0,BM25
5968,AP,0.0,BM25
5968,RR,0.0,BM25
5968,P@1,0.0,BM25
5968,P@5,0.0,BM25
5968,P@10,0.0,BM25
5968,nDCG@10,0.0,BM25
5968,nDCG@20,0.0,BM25
6127,AP,0.14285714285714285,BM25
6127,RR,1.0,BM25
6127,P@1,1.0,BM25
6127,P@5,0.2,BM25
6127,P@10,0.1,BM25
6127,nDCG@10,0.6025911746523251,BM25
6127,nDCG@20,0.6025911746523251,BM25
6193,AP,0.125,BM25
6193,RR,0.5,BM25
6193,P@1,0.0,BM25
6193,P@5,0.2,BM25
6193,P@10,0.1,BM25
6193,nDCG@10,0.27739411480640186,BM25
6193,nDCG@20,0.27739411480640186,BM25
6275,AP,0.9583333333333334,BM25
6275,RR,1.0,BM25
6275,P@1,1.0,BM25
6275,P@5,1.0,BM25
6275,P@10,0.6,BM25
6275,nDCG@10,0.9876712785649564,BM25
6275,nDCG@20,0.9876712785649564,BM25
6297,AP,0.025,BM25
6297,RR,0.05,BM25
6297,P@1,0.0,BM25
6297,P@5,0.0,BM25
6297,P@10,0.0,BM25
6297,nDCG@10,0.0,BM25
6297,nDCG@20,0.1966518697644848,BM25
6309,AP,1.0,BM25
6309,RR,1.0,BM25
6309,P@1,1.0,BM25
6309,P@5,1.0,BM25
6309,P@10,0.7,BM25
6309,nDCG@10,0.7271279853263134,BM25
6309,nDCG@20,0.7271279853263134,BM25
6310,AP,0.05555555555555555,BM25
6310,RR,0.3333333333333333,BM25
6310,P@1,0.0,BM25
6310,P@5,0.2,BM25
6310,P@10,0.1,BM25
6310,nDCG@10,0.16301540162661068,BM25
6310,nDCG@20,0.16301540162661068,BM25
6325,AP,0.0,BM25
6325,RR,0.0,BM25
6325,P@1,0.0,BM25
6325,P@5,0.0,BM25
6325,P@10,0.0,BM25
6325,nDCG@10,0.0,BM25
6325,nDCG@20,0.0,BM25
6357,AP,0.0,BM25
6357,RR,0.0,BM25
6357,P@1,0.0,BM25
6357,P@5,0.0,BM25
6357,P@10,0.0,BM25
6357,nDCG@10,0.0,BM25
6357,nDCG@20,0.0,BM25
6404,AP,0.2,BM25
6404,RR,1.0,BM25
6404,P@1,1.0,BM25
6404,P@5,0.2,BM25
6404,P@10,0.1,BM25
6404,nDCG@10,0.6724430512272807,BM25
6404,nDCG@20,0.6724430512272807,BM25
6459,AP,1.0,BM25
6459,RR,1.0,BM25
6459,P@1,1.0,BM25
6459,P@5,0.6,BM25
6459,P@10,0.3,BM25
6459,nDCG@10,0.9514426589871553,BM25
6459,nDCG@20,0.9514426589871553,BM25
6516,AP,0.3,BM25
6516,RR,0.5,BM25
6516,P@1,0.0,BM25
6516,P@5,0.4,BM25
6516,P@10,0.2,BM25
6516,nDCG@10,0.5661908030898144,BM25
6516,nDCG@20,0.5661908030898144,BM25
6534,AP,0.3385416666666667,BM25
6534,RR,1.0,BM25
6534,P@1,1.0,BM25
6534,P@5,0.2,BM25
6534,P@10,0.1,BM25
6534,nDCG@10,0.17171904689021833,BM25
6534,nDCG@20,0.4369676355662622,BM25
6551,AP,0.43,BM25
6551,RR,1.0,BM25
6551,P@1,1.0,BM25
6551,P@5,0.4,BM25
6551,P@10,0.2,BM25
6551,nDCG@10,0.6061680178534535,BM25
6551,nDCG@20,0.6907862689305612,BM25
6730,AP,0.25,BM25
6730,RR,1.0,BM25
6730,P@1,1.0,BM25
6730,P@5,0.2,BM25
6730,P@10,0.1,BM25
6730,nDCG@10,0.3903800499921017,BM25
6730,nDCG@20,0.3903800499921017,BM25
6806,AP,0.14285714285714285,BM25
6806,RR,1.0,BM25
6806,P@1,1.0,BM25
6806,P@5,0.2,BM25
6806,P@10,0.1,BM25
6806,nDCG@10,0.27487633291429087,BM25
6806,nDCG@20,0.27487633291429087,BM25
6815,AP,0.22619047619047616,BM25
6815,RR,0.16666666666666666,BM25
6815,P@1,0.0,BM25
6815,P@5,0.0,BM25
6815,P@10,0.2,BM25
6815,nDCG@10,0.3796563919825161,BM25
6815,nDCG@20,0.3796563919825161,BM25
6882,AP,0.0,BM25
6882,RR,0.0,BM25
6882,P@1,0.0,BM25
6882,P@5,0.0,BM25
6882,P@10,0.0,BM25
6882,nDCG@10,0.0,BM25
6882,nDCG@20,0.0,BM25
6888,AP,0.025,BM25
6888,RR,0.1,BM25
6888,P@1,0.0,BM25
6888,P@5,0.0,BM25
6888,P@10,0.1,BM25
6888,nDCG@10,0.11284514134893525,BM25
6888,nDCG@20,0.11284514134893525,BM25
6947,AP,0.0,BM25
6947,RR,0.0,BM25
6947,P@1,0.0,BM25
6947,P@5,0.0,BM25
6947,P@10,0.0,BM25
6947,nDCG@10,0.0,BM25
6947,nDCG@20,0.0,BM25
6990,AP,0.5833333333333333,BM25
6990,RR,0.5,BM25
6990,P@1,0.0,BM25
6990,P@5,0.4,BM25
6990,P@10,0.2,BM25
6990,nDCG@10,0.6934264036172708,BM25
6990,nDCG@20,0.6934264036172708,BM25
7014,AP,0.0,BM25
7014,RR,0.0,BM25
7014,P@1,0.0,BM25
7014,P@5,0.0,BM25
7014,P@10,0.0,BM25
7014,nDCG@10,0.0,BM25
7014,nDCG@20,0.0,BM25
7343,AP,1.0,BM25
7343,RR,1.0,BM25
7343,P@1,1.0,BM25
7343,P@5,0.8,BM25
7343,P@10,0.4,BM25
7343,nDCG@10,1.0,BM25
7343,nDCG@20,1.0,BM25
7389,AP,0.0,BM25
7389,RR,0.0,BM25
7389,P@1,0.0,BM25
7389,P@5,0.0,BM25
7389,P@10,0.0,BM25
7389,nDCG@10,0.0,BM25
7389,nDCG@20,0.0,BM25
7499,AP,0.1819444444444444,BM25
7499,RR,0.5,BM25
7499,P@1,0.0,BM25
7499,P@5,0.2,BM25
7499,P@10,0.3,BM25
7499,nDCG@10,0.2866919347890071,BM25
7499,nDCG@20,0.3979806910632244,BM25
7512,AP,0.0625,BM25
7512,RR,0.5,BM25
7512,P@1,0.0,BM25
7512,P@5,0.2,BM25
7512,P@10,0.1,BM25
7512,nDCG@10,0.10597690670105499,BM25
7512,nDCG@20,0.10597690670105499,BM25
7525,AP,0.08333333333333333,BM25
7525,RR,0.16666666666666666,BM25
7525,P@1,0.0,BM25
7525,P@5,0.0,BM25
7525,P@10,0.1,BM25
7525,nDCG@10,0.09810357436897517,BM25
7525,nDCG@20,0.09810357436897517,BM25
7566,AP,0.2,BM25
7566,RR,1.0,BM25
7566,P@1,1.0,BM25
7566,P@5,0.2,BM25
7566,P@10,0.1,BM25
7566,nDCG@10,0.3653938582227015,BM25
7566,nDCG@20,0.3653938582227015,BM25
7684,AP,0.16666666666666666,BM25
7684,RR,1.0,BM25
7684,P@1,1.0,BM25
7684,P@5,0.2,BM25
7684,P@10,0.1,BM25
7684,nDCG@10,0.4568625914789285,BM25
7684,nDCG@20,0.4568625914789285,BM25
7690,AP,0.175,BM25
7690,RR,0.5,BM25
7690,P@1,0.0,BM25
7690,P@5,0.4,BM25
7690,P@10,0.3,BM25
7690,nDCG@10,0.3475406804124244,BM25
7690,nDCG@20,0.3475406804124244,BM25
7694,AP,0.7222222222222222,BM25
7694,RR,1.0,BM25
7694,P@1,1.0,BM25
7694,P@5,0.4,BM25
7694,P@10,0.2,BM25
7694,nDCG@10,0.7653606369886217,BM25
7694,nDCG@20,0.8758330319477191,BM25
7717,AP,0.0,BM25
7717,RR,0.0,BM25
7717,P@1,0.0,BM25
7717,P@5,0.0,BM25
7717,P@10,0.0,BM25
7717,nDCG@10,0.0,BM25
7717,nDCG@20,0.0,BM25
7722,AP,0.6799999999999999,BM25
7722,RR,1.0,BM25
7722,P@1,1.0,BM25
7722,P@5,0.6,BM25
7722,P@10,0.4,BM25
7722,nDCG@10,0.8207658584763087,BM25
7722,nDCG@20,0.8207658584763087,BM25
7798,AP,1.0,BM25
7798,RR,1.0,BM25
7798,P@1,1.0,BM25
7798,P@5,0.4,BM25
7798,P@10,0.2,BM25
7798,nDCG@10,1.0,BM25
7798,nDCG@20,1.0,BM25
7828,AP,0.7922077922077921,BM25
7828,RR,1.0,BM25
7828,P@1,1.0,BM25
7828,P@5,1.0,BM25
7828,P@10,0.5,BM25
7828,nDCG@10,0.6830132704384927,BM25
7828,nDCG@20,0.77852845850495,BM25
7829,AP,0.2857142857142857,BM25
7829,RR,1.0,BM25
7829,P@1,1.0,BM25
7829,P@5,0.4,BM25
7829,P@10,0.2,BM25
7829,nDCG@10,0.5131443525566046,BM25
7829,nDCG@20,0.5131443525566046,BM25
7873,AP,1.0,BM25
7873,RR,1.0,BM25
7873,P@1,1.0,BM25
7873,P@5,0.6,BM25
7873,P@10,0.3,BM25
7873,nDCG@10,1.0,BM25
7873,nDCG@20,1.0,BM25
7902,AP,0.010869565217391304,BM25
7902,RR,0.043478260869565216,BM25
7902,P@1,0.0,BM25
7902,P@5,0.0,BM25
7902,P@10,0.0,BM25
7902,nDCG@10,0.0,BM25
7902,nDCG@20,0.0,BM25
7929,AP,0.0,BM25
7929,RR,0.0,BM25
7929,P@1,0.0,BM25
7929,P@5,0.0,BM25
7929,P@10,0.0,BM25
7929,nDCG@10,0.0,BM25
7929,nDCG@20,0.0,BM25
7998,AP,0.0,BM25
7998,RR,0.0,BM25
7998,P@1,0.0,BM25
7998,P@5,0.0,BM25
7998,P@10,0.0,BM25
7998,nDCG@10,0.0,BM25
7998,nDCG@20,0.0,BM25
8009,AP,0.0,BM25
8009,RR,0.0,BM25
8009,P@1,0.0,BM25
8009,P@5,0.0,BM25
8009,P@10,0.0,BM25
8009,nDCG@10,0.0,BM25
8009,nDCG@20,0.0,BM25
8143,AP,0.14285714285714285,BM25
8143,RR,1.0,BM25
8143,P@1,1.0,BM25
8143,P@5,0.2,BM25
8143,P@10,0.1,BM25
8143,nDCG@10,0.11413945582252616,BM25
8143,nDCG@20,0.11413945582252616,BM25
8179,AP,0.016666666666666666,BM25
8179,RR,0.08333333333333333,BM25
8179,P@1,0.0,BM25
8179,P@5,0.0,BM25
8179,P@10,0.0,BM25
8179,nDCG@10,0.0,BM25
8179,nDCG@20,0.09165402792833292,BM25
8181,AP,0.004310344827586207,BM25
8181,RR,0.034482758620689655,BM25
8181,P@1,0.0,BM25
8181,P@5,0.0,BM25
8181,P@10,0.0,BM25
8181,nDCG@10,0.0,BM25
8181,nDCG@20,0.0,BM25
8217,AP,0.9166666666666666,BM25
8217,RR,1.0,BM25
8217,P@1,1.0,BM25
8217,P@5,0.6,BM25
8217,P@10,0.4,BM25
8217,nDCG@10,0.9709286432396583,BM25
8217,nDCG@20,0.9709286432396583,BM25
8242,AP,0.020833333333333332,BM25
8242,RR,0.125,BM25
8242,P@1,0.0,BM25
8242,P@5,0.0,BM25
8242,P@10,0.1,BM25
8242,nDCG@10,0.05946931599253686,BM25
8242,nDCG@20,0.05946931599253686,BM25
8300,AP,0.125,BM25
8300,RR,1.0,BM25
8300,P@1,1.0,BM25
8300,P@5,0.2,BM25
8300,P@10,0.1,BM25
8300,nDCG@10,0.11017247662799697,BM25
8300,nDCG@20,0.11017247662799697,BM25
8326,AP,0.03571428571428571,BM25
8326,RR,0.14285714285714285,BM25
8326,P@1,0.0,BM25
8326,P@5,0.0,BM25
8326,P@10,0.1,BM25
8326,nDCG@10,0.13012668333070054,BM25
8326,nDCG@20,0.13012668333070054,BM25
8343,AP,0.8956845238095237,BM25
8343,RR,1.0,BM25
8343,P@1,1.0,BM25
8343,P@5,0.8,BM25
8343,P@10,0.8,BM25
8343,nDCG@10,0.9647787333393184,BM25
8343,nDCG@20,0.9647787333393184,BM25
8363,AP,0.3765512265512265,BM25
8363,RR,0.3333333333333333,BM25
8363,P@1,0.0,BM25
8363,P@5,0.4,BM25
8363,P@10,0.4,BM25
8363,nDCG@10,0.4365297726402587,BM25
8363,nDCG@20,0.5274737652727163,BM25
8381,AP,0.0,BM25
8381,RR,0.0,BM25
8381,P@1,0.0,BM25
8381,P@5,0.0,BM25
8381,P@10,0.0,BM25
8381,nDCG@10,0.0,BM25
8381,nDCG@20,0.0,BM25
8527,AP,0.0,BM25
8527,RR,0.0,BM25
8527,P@1,0.0,BM25
8527,P@5,0.0,BM25
8527,P@10,0.0,BM25
8527,nDCG@10,0.0,BM25
8527,nDCG@20,0.0,BM25
8567,AP,0.27777777777777773,BM25
8567,RR,0.3333333333333333,BM25
8567,P@1,0.0,BM25
8567,P@5,0.4,BM25
8567,P@10,0.2,BM25
8567,nDCG@10,0.4367467095119258,BM25
8567,nDCG@20,0.4367467095119258,BM25
8720,AP,0.011111111111111112,BM25
8720,RR,0.03333333333333333,BM25
8720,P@1,0.0,BM25
8720,P@5,0.0,BM25
8720,P@10,0.0,BM25
8720,nDCG@10,0.0,BM25
8720,nDCG@20,0.0,BM25
8773,AP,0.7045454545454546,BM25
8773,RR,1.0,BM25
8773,P@1,1.0,BM25
8773,P@5,0.8,BM25
8773,P@10,0.4,BM25
8773,nDCG@10,0.6190948730977,BM25
8773,nDCG@20,0.6190948730977,BM25
8811,AP,0.0,BM25
8811,RR,0.0,BM25
